Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Tritanium,34,0.01,jita,C-J6MT,3.99,4.19,4.02,4.61,1200,-11.97,-12.170000000000002,-11.379999999999999,-11.580000000000002,-0.7485928705440901,-0.7516985793699815,-0.7116948092557848,-0.7152563310685609,2025-12-18 13:40:44.229761
Pyerite,35,0.01,jita,C-J6MT,22.55,23.0,21.92,26.4,1200,-12.629999999999995,-13.079999999999998,-8.149999999999999,-8.600000000000001,-0.3655571635311142,-0.37371428571428567,-0.23589001447178,-0.24571428571428575,2025-12-18 13:40:44.233328
Mexallon,36,0.01,jita,C-J6MT,52.47,53.0,25.91,28.66,1200,-38.56,-39.09,-35.81,-36.34,-0.5981076469675819,-0.6013846153846154,-0.5554521482860245,-0.5590769230769231,2025-12-18 13:40:44.236771
Isogen,37,0.01,jita,C-J6MT,234.0,238.0,189.9,216.3,1200,-56.099999999999994,-60.099999999999994,-29.69999999999999,-33.69999999999999,-0.22804878048780486,-0.24039999999999997,-0.12073170731707313,-0.13479999999999995,2025-12-18 13:40:44.240278
Zydrine,39,0.01,jita,C-J6MT,1302.0,1439.0,1199.0,1310.0,1200,-115.0,-252.0,-4.0,-141.0,-0.08751902587519025,-0.17367332873880081,-0.0030441400304414,-0.09717436250861475,2025-12-18 13:40:44.243871
Nocxium,38,0.01,jita,C-J6MT,902.5,939.0,722.0,864.4,1200,-192.5,-229.0,-50.10000000000002,-86.60000000000002,-0.21049753963914708,-0.24079915878023134,-0.05478403499179882,-0.09106203995793903,2025-12-18 13:40:44.247402
Megacyte,40,0.01,jita,C-J6MT,2953.0,3036.0,2635.0,2794.0,1200,-330.0,-413.0,-171.0,-254.0,-0.11129848229342328,-0.135498687664042,-0.057672849915682965,-0.08333333333333333,2025-12-18 13:40:44.250924
Morphite,11399,0.01,jita,C-J6MT,20130.0,21180.0,17930.0,20050.0,1200,-2212.0,-3262.0,-92.0,-1142.0,-0.10982027604011518,-0.15392600981502455,-0.004567570251216364,-0.053888259720649305,2025-12-18 13:40:44.255212
