Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Morphite,11399,0.01,jita,C-J6MT,20390.0,21370.0,19000.0,21160.0,1200,-1402.0,-2382.0,758.0,-222.0,-0.06871875306342515,-0.11140211392760266,0.037153220272522304,-0.010382564774109064,2025-12-25 17:21:30.290012
Zydrine,39,0.01,jita,C-J6MT,1539.0,1574.0,1317.0,1566.0,1200,-234.0,-269.0,15.0,-20.0,-0.15087040618955513,-0.16960907944514503,0.009671179883945842,-0.012610340479192938,2025-12-25 17:21:30.278084
Pyerite,35,0.01,jita,C-J6MT,24.27,24.75,22.24,26.9,1200,-14.029999999999998,-14.510000000000002,-9.369999999999997,-9.850000000000001,-0.38682106424041907,-0.39482993197278915,-0.2583402260821615,-0.2680272108843538,2025-12-25 17:21:30.266360
Tritanium,34,0.01,jita,C-J6MT,4.1,4.28,4.52,4.85,1200,-11.580000000000002,-11.760000000000002,-11.250000000000002,-11.430000000000001,-0.7192546583850932,-0.7223587223587224,-0.6987577639751553,-0.7020884520884522,2025-12-25 17:21:30.262524
Isogen,37,0.01,jita,C-J6MT,206.4,220.9,178.0,201.0,1200,-40.400000000000006,-54.900000000000006,-17.400000000000006,-31.900000000000006,-0.184981684981685,-0.23572348647488195,-0.07967032967032969,-0.13696865607556893,2025-12-25 17:21:30.274034
Mexallon,36,0.01,jita,C-J6MT,47.03,51.14,30.46,41.16,1200,-28.57,-32.68,-17.870000000000005,-21.980000000000004,-0.48399119091987125,-0.5175799809946151,-0.3027274267321702,-0.3481152993348116,2025-12-25 17:21:30.270223
Nocxium,38,0.01,jita,C-J6MT,904.0,926.0,730.0,799.8,1200,-186.0,-208.0,-116.20000000000005,-138.20000000000005,-0.20305676855895197,-0.22174840085287847,-0.1268558951965066,-0.1473347547974414,2025-12-25 17:21:30.281986
Megacyte,40,0.01,jita,C-J6MT,3070.0,3140.0,2589.0,2879.0,1200,-493.0,-563.0,-203.0,-273.0,-0.1599610642439974,-0.17861675126903553,-0.06586632057105775,-0.08661167512690356,2025-12-25 17:21:30.285920
