Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Pyerite,35,0.01,jita,C-J6MT,23.96,24.83,22.86,25.77,1200,-13.100000000000001,-13.969999999999999,-10.190000000000001,-11.059999999999999,-0.36429365962180205,-0.3793103448275862,-0.28337041156840936,-0.30029866956285634,2025-12-25 08:31:32.571893
Tritanium,34,0.01,jita,C-J6MT,4.09,4.3,4.17,4.95,1200,-11.92,-12.13,-11.14,-11.350000000000001,-0.7408328154133001,-0.7441717791411043,-0.6923555003107521,-0.6963190184049081,2025-12-25 08:31:32.568130
Mexallon,36,0.01,jita,C-J6MT,45.53,51.77,30.29,34.96,1200,-27.240000000000002,-33.480000000000004,-22.57,-28.810000000000002,-0.4734920910829133,-0.5250117610161519,-0.3923170519728837,-0.4517798337776384,2025-12-25 08:31:32.575704
Zydrine,39,0.01,jita,C-J6MT,1535.0,1586.0,1320.0,1569.0,1200,-227.0,-278.0,22.0,-29.0,-0.14673561732385262,-0.1739674593241552,0.014221073044602456,-0.018147684605757195,2025-12-25 08:31:32.583679
Isogen,37,0.01,jita,C-J6MT,215.1,228.0,188.7,199.9,1200,-38.400000000000006,-51.30000000000001,-27.19999999999999,-40.099999999999994,-0.16908850726552183,-0.21375000000000005,-0.11977102597974455,-0.1670833333333333,2025-12-25 08:31:32.579351
Nocxium,38,0.01,jita,C-J6MT,892.0,928.7,729.2,799.8,1200,-174.79999999999995,-211.5,-104.20000000000005,-140.9000000000001,-0.19336283185840702,-0.22483257148931646,-0.11526548672566377,-0.14978207717657072,2025-12-25 08:31:32.587296
Megacyte,40,0.01,jita,C-J6MT,3052.0,3161.0,2576.0,2878.0,1200,-488.0,-597.0,-186.0,-295.0,-0.15926892950391644,-0.18815001575795776,-0.060704960835509136,-0.09297195083517176,2025-12-25 08:31:32.590995
Morphite,11399,0.01,jita,C-J6MT,20630.0,21480.0,19000.0,21150.0,1200,-1642.0,-2492.0,508.0,-342.0,-0.07954655556632109,-0.11595012097524661,0.024610018409068887,-0.015912897822445562,2025-12-25 08:31:32.594834
