Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Mechanical Parts,3689,0.75,jita,C-J6MT,12080.0,12340.0,12430.0,14870.0,1200,-550.0,-810.0,1890.0,1630.0,-0.0423728813559322,-0.06117824773413897,0.14560862865947613,0.12311178247734139,2025-11-02 07:20:43.965114
Coolant,9832,0.75,jita,C-J6MT,12350.0,13510.0,11880.0,15020.0,1200,-1370.0,-2530.0,1770.0,610.0,-0.10339622641509434,-0.17557251908396945,0.13358490566037737,0.04233171408743928,2025-11-02 07:20:43.960637
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,725.0,789.8,873.2,917.8,1200,112.20000000000005,47.40000000000009,156.79999999999995,92.0,0.14743758212877797,0.05739888592879643,0.20604467805519047,0.11140712036812789,2025-11-02 07:20:43.981025
Helium Isotopes,16274,0.03,jita,C-J6MT,945.3,1064.0,936.2,1187.0,1200,-45.09999999999991,-163.79999999999995,205.70000000000005,87.0,-0.045959441557118015,-0.14890909090909088,0.20961989198002656,0.07909090909090909,2025-11-02 07:20:43.976576
Oxygen Isotopes,17887,0.03,jita,C-J6MT,833.0,895.0,915.0,1016.0,1200,46.0,-16.0,147.0,85.0,0.05293440736478711,-0.017185821697099892,0.16915995397008055,0.09129967776584318,2025-11-02 07:20:43.983237
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,666.6,724.0,692.3,768.7,1200,-10.300000000000068,-67.70000000000005,66.10000000000002,8.700000000000045,-0.014659834898946865,-0.08907894736842112,0.09407913464275551,0.011447368421052692,2025-11-02 07:20:43.978793
Oxygen,3683,0.19,jita,C-J6MT,360.0,396.5,430.4,458.9,1200,-157.60000000000002,-194.10000000000002,-129.10000000000002,-165.60000000000002,-0.2680272108843538,-0.31080864691753407,-0.21955782312925173,-0.2651721377101682,2025-11-02 07:20:43.958371
Enriched Uranium,44,0.75,jita,C-J6MT,14120.0,14350.0,12900.0,14870.0,1200,-2120.0,-2350.0,-150.0,-380.0,-0.1411451398135819,-0.1540983606557377,-0.009986684420772303,-0.024918032786885248,2025-11-02 07:20:43.962878
Liquid Ozone,16273,0.4,jita,C-J6MT,132.1,145.0,82.06,107.0,1200,-530.04,-542.94,-505.1,-518.0,-0.8659369384087566,-0.8687040000000001,-0.8251919620976964,-0.8288,2025-11-02 07:20:43.969591
Heavy Water,16272,0.4,jita,C-J6MT,104.3,114.2,23.05,35.97,1200,-561.25,-571.1500000000001,-548.3299999999999,-558.23,-0.9605510867704947,-0.961208347357792,-0.9384391579667978,-0.9394648266576909,2025-11-02 07:20:43.971886
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19560.0,21370.0,21800.0,25470.0,1200,-3760.0,-5570.0,-90.0,-1900.0,-0.14710485133020346,-0.20350748995250273,-0.0035211267605633804,-0.06941907197661673,2025-11-02 07:20:43.992182
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,20240.0,20880.0,20040.0,24500.0,1200,-6200.0,-6840.0,-1740.0,-2380.0,-0.23628048780487804,-0.2544642857142857,-0.0663109756097561,-0.08854166666666667,2025-11-02 07:20:43.989956
Robotics,9848,3.0,jita,C-J6MT,87400.0,90320.0,84520.0,91480.0,1200,-6480.0,-9400.0,480.0,-2440.0,-0.07120879120879121,-0.10008517887563884,0.005274725274725275,-0.025979557069846677,2025-11-02 07:20:43.967371
Helium Fuel Block,4247,5.0,jita,C-J6MT,22750.0,24000.0,17200.0,25660.0,1200,-11550.0,-12800.0,-3090.0,-4340.0,-0.4017391304347826,-0.4266666666666667,-0.10747826086956522,-0.14466666666666667,2025-11-02 07:20:43.985489
Strontium Clathrates,16275,3.0,jita,C-J6MT,4400.0,4750.0,3531.0,3917.0,1200,-4469.0,-4819.0,-4083.0,-4433.0,-0.558625,-0.577125748502994,-0.510375,-0.5308982035928144,2025-11-02 07:20:43.974128
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,20010.0,21280.0,16300.0,19160.0,1200,-9710.0,-10980.0,-6850.0,-8120.0,-0.3733179546328335,-0.40249266862170086,-0.263360246059208,-0.29765395894428154,2025-11-02 07:20:43.987722
