Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Mechanical Parts,3689,0.75,jita,C-J6MT,12010.0,12300.0,12420.0,14870.0,1200,-490.0,-780.0,1960.0,1670.0,-0.037955073586367155,-0.05909090909090909,0.15182029434546862,0.12651515151515152,2025-11-02 03:18:41.089972
Helium Isotopes,16274,0.03,jita,C-J6MT,945.0,1065.0,936.1,1190.0,1200,-44.89999999999998,-164.89999999999998,209.0,89.0,-0.045769622833843,-0.1497729336966394,0.2130479102956167,0.08083560399636694,2025-11-02 03:18:41.101055
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,726.0,790.0,873.2,910.0,1200,111.20000000000005,47.200000000000045,148.0,84.0,0.14593175853018378,0.0571428571428572,0.1942257217847769,0.1016949152542373,2025-11-02 03:18:41.105501
Oxygen Isotopes,17887,0.03,jita,C-J6MT,832.0,899.9,915.0,1016.0,1200,47.0,-20.899999999999977,148.0,80.10000000000002,0.05414746543778802,-0.02233144566727212,0.17050691244239632,0.085586066887488,2025-11-02 03:18:41.107730
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,665.0,724.0,691.7,714.8,1200,-9.299999999999955,-68.29999999999995,13.799999999999955,-45.200000000000045,-0.013266761768901505,-0.08986842105263151,0.019686162624821618,-0.05947368421052637,2025-11-02 03:18:41.103291
Oxygen,3683,0.19,jita,C-J6MT,355.9,395.0,430.4,458.0,1200,-153.5,-192.60000000000002,-125.89999999999998,-165.0,-0.2628874807330022,-0.30914927768860356,-0.21561911286179136,-0.26484751203852325,2025-11-02 03:18:41.083224
Coolant,9832,0.75,jita,C-J6MT,12590.0,12900.0,11870.0,13330.0,1200,-1620.0,-1930.0,-160.0,-470.0,-0.12008895478131949,-0.1398550724637681,-0.011860637509266123,-0.034057971014492754,2025-11-02 03:18:41.085501
Liquid Ozone,16273,0.4,jita,C-J6MT,132.0,144.0,82.06,85.99,1200,-529.94,-541.94,-526.01,-538.01,-0.8659150326797387,-0.8684935897435898,-0.8594934640522875,-0.8621955128205128,2025-11-02 03:18:41.094410
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,20010.0,21740.0,21730.0,25480.0,1200,-4280.0,-6010.0,-530.0,-2260.0,-0.1645520953479431,-0.21665465032444123,-0.020376778162245292,-0.08147080028839221,2025-11-02 03:18:41.116661
Heavy Water,16272,0.4,jita,C-J6MT,104.3,114.4,23.05,36.0,1200,-561.25,-571.35,-548.3,-558.4,-0.9605510867704947,-0.9612213997308211,-0.9383878144788635,-0.9394347240915208,2025-11-02 03:18:41.096601
Robotics,9848,3.0,jita,C-J6MT,87430.0,90170.0,84480.0,90000.0,1200,-6550.0,-9290.0,-1030.0,-3770.0,-0.07195430077996265,-0.09907219793110802,-0.011314951115017027,-0.04020475631865202,2025-11-02 03:18:41.092184
Enriched Uranium,44,0.75,jita,C-J6MT,14100.0,14110.0,12900.0,13350.0,1200,-2100.0,-2110.0,-1650.0,-1660.0,-0.14,-0.14057295136575615,-0.11,-0.1105929380413058,2025-11-02 03:18:41.087746
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,20240.0,20750.0,20040.0,24490.0,1200,-6200.0,-6710.0,-1750.0,-2260.0,-0.23628048780487804,-0.2508411214953271,-0.06669207317073171,-0.08448598130841121,2025-11-02 03:18:41.114450
Helium Fuel Block,4247,5.0,jita,C-J6MT,22740.0,24080.0,17200.0,25670.0,1200,-11540.0,-12880.0,-3070.0,-4410.0,-0.40153096729297144,-0.42819148936170215,-0.10681976339596382,-0.1466090425531915,2025-11-02 03:18:41.109961
Strontium Clathrates,16275,3.0,jita,C-J6MT,4400.0,4750.0,3528.0,3879.0,1200,-4472.0,-4822.0,-4121.0,-4471.0,-0.559,-0.5774850299401197,-0.515125,-0.5354491017964071,2025-11-02 03:18:41.098831
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,20010.0,21250.0,16300.0,19190.0,1200,-9710.0,-10950.0,-6820.0,-8060.0,-0.3733179546328335,-0.4018348623853211,-0.2622068435217224,-0.29577981651376145,2025-11-02 03:18:41.112199
