Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,725.0,789.8,873.2,918.1,1200,112.20000000000005,47.40000000000009,157.10000000000002,92.30000000000007,0.14743758212877797,0.05739888592879643,0.20643889618922473,0.1117704044562849,2025-11-02 05:22:53.748701
Oxygen Isotopes,17887,0.03,jita,C-J6MT,833.0,904.8,915.0,1017.0,1200,46.0,-25.799999999999955,148.0,76.20000000000005,0.05293440736478711,-0.027423469387755056,0.17031070195627157,0.08099489795918373,2025-11-02 05:22:53.750899
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,665.0,724.0,692.3,714.8,1200,-8.700000000000045,-67.70000000000005,13.799999999999955,-45.200000000000045,-0.012410841654778952,-0.08907894736842112,0.019686162624821618,-0.05947368421052637,2025-11-02 05:22:53.746497
Helium Isotopes,16274,0.03,jita,C-J6MT,945.1,1065.0,936.2,1190.0,1200,-44.89999999999998,-164.79999999999995,208.89999999999998,89.0,-0.04576495770054018,-0.14968210717529515,0.21292426867801445,0.08083560399636694,2025-11-02 05:22:53.744273
Oxygen,3683,0.19,jita,C-J6MT,360.0,396.4,430.4,458.0,1200,-157.60000000000002,-194.0,-130.0,-166.39999999999998,-0.2680272108843538,-0.31069827033952596,-0.22108843537414966,-0.26649583600256244,2025-11-02 05:22:53.726446
Liquid Ozone,16273,0.4,jita,C-J6MT,132.0,144.0,82.06,85.98,1200,-529.94,-541.94,-526.02,-538.02,-0.8659150326797387,-0.8684935897435898,-0.8595098039215686,-0.8622115384615384,2025-11-02 05:22:53.737636
Heavy Water,16272,0.4,jita,C-J6MT,104.3,114.2,23.05,35.99,1200,-561.25,-571.1500000000001,-548.31,-558.21,-0.9605510867704947,-0.961208347357792,-0.9384049289748416,-0.9394311679569168,2025-11-02 05:22:53.739835
Mechanical Parts,3689,0.75,jita,C-J6MT,12010.0,12360.0,12430.0,14870.0,1200,-480.0,-830.0,1960.0,1610.0,-0.037180480247869865,-0.06259426847662142,0.15182029434546862,0.12141779788838612,2025-11-02 05:22:53.733201
Enriched Uranium,44,0.75,jita,C-J6MT,14100.0,14370.0,12900.0,13350.0,1200,-2100.0,-2370.0,-1650.0,-1920.0,-0.14,-0.15520628683693516,-0.11,-0.12573673870333987,2025-11-02 05:22:53.730983
Coolant,9832,0.75,jita,C-J6MT,12350.0,13480.0,11880.0,13330.0,1200,-1370.0,-2500.0,80.0,-1050.0,-0.10339622641509434,-0.17385257301808066,0.0060377358490566035,-0.07301808066759388,2025-11-02 05:22:53.728737
Strontium Clathrates,16275,3.0,jita,C-J6MT,4400.0,4750.0,3531.0,3879.0,1200,-4469.0,-4819.0,-4121.0,-4471.0,-0.558625,-0.577125748502994,-0.515125,-0.5354491017964071,2025-11-02 05:22:53.742071
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19560.0,21740.0,21730.0,25470.0,1200,-3830.0,-6010.0,-90.0,-2270.0,-0.1498435054773083,-0.21665465032444123,-0.0035211267605633804,-0.081831290555155,2025-11-02 05:22:53.759793
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,20240.0,20890.0,20040.0,24480.0,1200,-6200.0,-6850.0,-1760.0,-2410.0,-0.23628048780487804,-0.2547415396058014,-0.06707317073170732,-0.08962439568612868,2025-11-02 05:22:53.757558
Robotics,9848,3.0,jita,C-J6MT,87420.0,90100.0,84500.0,90000.0,1200,-6520.0,-9200.0,-1020.0,-3700.0,-0.07163260821797407,-0.09818569903948772,-0.01120632827949901,-0.03948772678762007,2025-11-02 05:22:53.735413
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,20010.0,21250.0,16300.0,19160.0,1200,-9710.0,-10950.0,-6850.0,-8090.0,-0.3733179546328335,-0.4018348623853211,-0.263360246059208,-0.2968807339449541,2025-11-02 05:22:53.755357
Helium Fuel Block,4247,5.0,jita,C-J6MT,22750.0,24080.0,17200.0,25660.0,1200,-11550.0,-12880.0,-3090.0,-4420.0,-0.4017391304347826,-0.42819148936170215,-0.10747826086956522,-0.14694148936170212,2025-11-02 05:22:53.753138
