Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,785.4,840.9,860.5,960.8,1200,39.10000000000002,-16.399999999999977,139.39999999999998,83.89999999999998,0.047601655709763845,-0.01870224655034779,0.16971025079133184,0.09567795643745008,2025-10-31 14:22:37.222399
Oxygen Isotopes,17887,0.03,jita,C-J6MT,882.0,896.7,910.3,1000.0,1200,-7.7000000000000455,-22.40000000000009,82.0,67.29999999999995,-0.008387799564270201,-0.024016296772810218,0.08932461873638345,0.07215610592902322,2025-10-31 14:22:37.224527
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,695.0,758.8,669.1,708.0,1200,-61.89999999999998,-125.69999999999993,-23.0,-86.79999999999995,-0.08467852257181939,-0.15815299446401604,-0.03146374829001368,-0.10920986411675888,2025-10-31 14:22:37.220269
Helium Isotopes,16274,0.03,jita,C-J6MT,990.0,1209.0,1052.0,1106.0,1200,26.0,-193.0,80.0,-139.0,0.025341130604288498,-0.15502008032128514,0.07797270955165692,-0.11164658634538152,2025-10-31 14:22:37.218142
Oxygen,3683,0.19,jita,C-J6MT,345.2,409.8,426.3,499.9,1200,-146.90000000000003,-211.49999999999994,-73.30000000000007,-137.89999999999998,-0.25628053035589676,-0.3316086547507055,-0.12787857641311945,-0.21621197867670114,2025-10-31 14:22:37.200719
Liquid Ozone,16273,0.4,jita,C-J6MT,140.0,154.6,78.51,103.0,1200,-541.49,-556.09,-517.0,-531.6,-0.8733709677419355,-0.8762842735581469,-0.8338709677419355,-0.8376930349826662,2025-10-31 14:22:37.211679
Heavy Water,16272,0.4,jita,C-J6MT,100.6,114.9,16.07,32.0,1200,-564.53,-578.8299999999999,-548.6,-562.9,-0.9723217361350326,-0.9729870566481761,-0.9448846021357217,-0.9462094469658766,2025-10-31 14:22:37.213826
Mechanical Parts,3689,0.75,jita,C-J6MT,11730.0,12500.0,12360.0,12870.0,1200,-270.0,-1040.0,240.0,-530.0,-0.021377672209026127,-0.07761194029850746,0.019002375296912115,-0.03955223880597015,2025-10-31 14:22:37.207394
Enriched Uranium,44,0.75,jita,C-J6MT,13290.0,14580.0,14260.0,15800.0,1200,70.0,-1220.0,1610.0,320.0,0.004933051444679351,-0.07881136950904392,0.11346018322762509,0.020671834625323,2025-10-31 14:22:37.205212
Coolant,9832,0.75,jita,C-J6MT,12270.0,13180.0,12850.0,14400.0,1200,-320.0,-1230.0,1230.0,320.0,-0.024297646165527716,-0.08735795454545454,0.09339407744874716,0.022727272727272728,2025-10-31 14:22:37.202976
Strontium Clathrates,16275,3.0,jita,C-J6MT,4467.0,4950.0,3361.0,3886.0,1200,-4706.0,-5189.0,-4181.0,-4664.0,-0.5833643237882732,-0.6069005847953216,-0.5182843684145283,-0.5454970760233918,2025-10-31 14:22:37.215983
Helium Fuel Block,4247,5.0,jita,C-J6MT,22450.0,24230.0,24500.0,25830.0,1200,-3950.0,-5730.0,-2620.0,-4400.0,-0.13884007029876977,-0.18954680780681443,-0.09209138840070298,-0.14555077737347005,2025-10-31 14:22:37.226672
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,19830.0,21820.0,22000.0,23990.0,1200,-3830.0,-5820.0,-1840.0,-3830.0,-0.14827719705768486,-0.2092020129403307,-0.07123499806426636,-0.1376707404744788,2025-10-31 14:22:37.230957
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,21010.0,22850.0,22030.0,23750.0,1200,-4980.0,-6820.0,-3260.0,-5100.0,-0.1843761569788967,-0.23639514731369152,-0.12069603850425768,-0.17677642980935876,2025-10-31 14:22:37.233091
Robotics,9848,3.0,jita,C-J6MT,86340.0,89430.0,82300.0,90500.0,1200,-7640.0,-10730.0,560.0,-2530.0,-0.08494551923504559,-0.11533913791250135,0.00622637313764732,-0.027195528324196496,2025-10-31 14:22:37.209540
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,19800.0,21950.0,16600.0,19300.0,1200,-9200.0,-11350.0,-6500.0,-8650.0,-0.35658914728682173,-0.40608228980322003,-0.25193798449612403,-0.3094812164579606,2025-10-31 14:22:37.228832
