timestamp,buyVolume,sellVolume,buyOrders,sellOrders,buyOutliers,sellOutliers,TotalVolume,NetVolume,VolumeRatio,BuyVolumeShare,SellVolumeShare,VolumeImbalance,OrderCountRatio,AvgBuyOrderSize,AvgSellOrderSize,OrderSizeRatio,LiquidityIndex,OrderFlowPressure,MarketDepthProxy,VolumeChange,VROC,VMomentum,VolumeVolatility,CoeffVariation
2025-11-07T13:33:50.004356+00:00,17115228656,25642183474,1590,3532,120,29,42757412130,-8526954818,0.66746377793272,0.4002868228779308,0.5997131771220692,-0.1994263542441384,0.45016987542468856,10764294.752201257,7259961.345979615,1.482693121797715,8347796.198750488,-0.37914877001171415,8347796.198750488,-122652586.0,-0.002860363826695303,-509711173.0,351628157.79447544,0.008119144584302592
2025-11-07T14:25:03.993069+00:00,17161128165,25610074694,1598,3525,120,29,42771202859,-8448946529,0.6700928587693873,0.4012308987795727,0.5987691012204273,-0.19753820244085457,0.4533333333333333,10739129.01439299,7265269.416737589,1.4781460119912952,8348858.649033769,-0.3761467889908257,8348858.649033769,13790729.0,0.00032253423004344954,-439444546.0,390901573.5463778,0.009036099338307327
2025-11-07T15:24:25.709052+00:00,17226622307,25640299876,1632,3502,120,29,42866922183,-8413677569,0.6718572867833178,0.4018628217220519,0.5981371782779481,-0.19627435655589623,0.46601941747572817,10555528.374387255,7321616.183894917,1.441693761222536,8349614.7610050645,-0.36423841059602646,8349614.7610050645,95719324.0,0.002237938556826408,-13142533.0,409397126.73124474,0.009473245004417248
2025-11-07T16:24:40.200268+00:00,17190337016,25510035977,1611,3495,120,29,42700372993,-8319698961,0.6738656516007625,0.40258048843784255,0.5974195115621574,-0.19483902312431495,0.4609442060085837,10670600.258224705,7299008.86323319,1.4619245514243733,8362783.586564826,-0.3689776733254994,8362783.586564826,-166549190.0,-0.0038852612111734356,-57039137.0,440965189.0031765,0.010215145144375376
2025-11-07T17:21:32.553066+00:00,17176821703,25383921015,1592,3530,120,32,42560742718,-8207099312,0.6766811830548078,0.4035836925311807,0.5964163074688194,-0.1928326149376386,0.4509915014164306,10789460.868718592,7190912.468838527,1.5004300101654973,8309399.203045685,-0.37836782506833266,8309399.203045685,-139630275.0,-0.0032700012953725253,-210460141.0,413234697.7932875,0.009600730612242533
2025-11-07T18:30:58.685452+00:00,17035113449,25323928597,1580,3547,120,32,42359042046,-8288815148,0.6726884173499867,0.4021600259633029,0.5978399740366971,-0.19567994807339417,0.4454468564984494,10781717.37278481,7139534.422610657,1.5101429217344322,8261954.758338209,-0.38365515896235614,8261954.758338209,-201700672.0,-0.00473912481594678,-507880137.0,364343452.91969955,0.00849355540998608
2025-11-07T19:20:34.154820+00:00,16974641152,25709975814,1558,3568,117,31,42684616966,-8735334662,0.6602355939501391,0.397675845739016,0.6023241542609841,-0.20464830852196805,0.4366591928251121,10895148.364569962,7205710.710201793,1.5120157889692531,8327080.953179867,-0.39211861100273115,8327080.953179867,325574920.0,0.0076860784445134615,-15756027.0,273852362.6862789,0.006397550529091951
2025-11-07T20:24:15.121774+00:00,16911882925,25471161545,1579,3601,117,31,42383044470,-8559278620,0.6639619828534993,0.399024731150938,0.6009752688490619,-0.201950537698124,0.4384893085254096,10710502.169094363,7073357.829769509,1.5142033567165616,8182054.916988417,-0.39034749034749033,8182054.916988417,-301572496.0,-0.007065133001901236,-177698248.0,250050129.91188332,0.0058535886974159426
2025-11-07T21:18:27.630880+00:00,16897908629,25927474022,1576,3624,117,31,42825382651,-9029565393,0.6517375589562552,0.39457694439550844,0.6054230556044915,-0.21084611120898306,0.434878587196468,10722023.241751269,7154380.248896247,1.4986655543511858,8235650.509807692,-0.39384615384615385,8235650.509807692,442338181.0,0.010436677839721974,466340605.0,187455251.4243906,0.004392225142393901
2025-11-07T22:23:27.961694+00:00,16908890251,26083818707,1565,3558,117,31,42992708958,-9174928456,0.6482520999297635,0.393296692876889,0.606703307123111,-0.213406614246222,0.4398538504777965,10804402.71629393,7331033.925519955,1.4737897581789767,8392096.224477844,-0.389029865313293,8392096.224477844,167326307.0,0.003907175993349655,308091992.0,203578980.00622088,0.004768758245547568
