weekday,month_day,year_day,hour,buyVolume,sellVolume,buyOrders,sellOrders,buyOutliers,sellOutliers
Friday,7,311,1,17076232074.0,26238204149.0,1557.0,3466.0,119.0,26.0
Friday,7,311,3,17169153450.0,26087369501.0,1541.0,3463.0,119.0,26.0
Friday,7,311,4,17348064040.0,25957318539.0,1528.0,3453.0,119.0,26.0
Friday,7,311,5,17292544650.0,25891425502.0,1538.0,3447.0,119.0,26.0
Friday,7,311,6,17201806975.0,26616732524.0,1536.0,3492.0,119.0,27.0
Friday,7,311,8,17193521530.0,26620981630.0,1524.0,3500.0,119.0,28.0
Friday,7,311,9,17173275177.0,26417786249.0,1531.0,3521.0,119.0,29.0
Friday,7,311,10,17146276805.0,26120846498.0,1537.0,3527.0,119.0,29.0
Friday,7,311,11,17127264902.0,26083382503.0,1541.0,3552.0,119.0,29.0
Friday,7,311,12,17115337413.0,25764727303.0,1556.0,3557.0,120.0,29.0
Friday,7,311,13,17115228656.0,25642183474.0,1590.0,3532.0,120.0,29.0
Friday,7,311,14,17161128165.0,25610074694.0,1598.0,3525.0,120.0,29.0
Friday,7,311,15,17226622307.0,25640299876.0,1632.0,3502.0,120.0,29.0
Friday,7,311,16,17190337016.0,25510035977.0,1611.0,3495.0,120.0,29.0
Friday,7,311,17,17176821703.0,25383921015.0,1592.0,3530.0,120.0,32.0
Friday,7,311,18,17035113449.0,25323928597.0,1580.0,3547.0,120.0,32.0
Friday,7,311,19,16974641152.0,25709975814.0,1558.0,3568.0,117.0,31.0
Friday,7,311,20,16911882925.0,25471161545.0,1579.0,3601.0,117.0,31.0
Friday,7,311,21,16897908629.0,25927474022.0,1576.0,3624.0,117.0,31.0
Friday,7,311,22,16908890251.0,26083818707.0,1565.0,3558.0,117.0,31.0
Friday,7,311,23,16645564268.0,25949194634.0,1579.0,3553.0,117.0,31.0
Monday,10,314,1,18007167704.0,21029528739.0,1672.0,3497.0,102.0,33.0
Monday,10,314,3,18004547923.0,20958083094.0,1721.0,3498.0,102.0,33.0
Monday,10,314,4,18515267370.0,21262244929.0,1710.0,3494.0,102.0,33.0
Monday,10,314,5,18048796304.0,20832225701.0,1697.0,3504.0,102.0,33.0
Monday,10,314,6,17371990806.0,21079971493.0,1639.0,3527.0,102.0,33.0
Monday,10,314,7,17208212376.0,21635997733.0,1639.0,3504.0,102.0,33.0
Monday,10,314,8,17645457963.0,21610130427.0,1667.0,3512.0,102.0,33.0
Monday,10,314,9,17606589854.0,21356904245.0,1669.0,3504.0,102.0,33.0
Monday,10,314,10,17971352728.0,21204274328.0,1683.0,3508.0,102.0,34.0
Monday,10,314,11,17803327917.0,21084091421.0,1600.0,3420.0,102.0,32.0
Monday,10,314,12,17626399186.0,20323624279.0,1584.0,3413.0,102.0,32.0
Monday,10,314,13,17541137227.0,21079585230.0,1585.0,3387.0,102.0,32.0
Monday,10,314,14,17281793802.0,20993413737.0,1577.0,3367.0,102.0,32.0
Monday,10,314,15,17140062722.0,22067546671.0,1605.0,3396.0,107.0,31.0
Monday,10,314,16,17162880755.0,22069513648.0,1575.0,3447.0,105.0,31.0
Monday,10,314,17,17277546477.0,21961262101.0,1595.0,3458.0,103.0,31.0
Monday,10,314,18,17366599252.0,21964440754.0,1604.0,3466.0,104.0,31.0
Monday,10,314,19,17188397006.0,22239133020.0,1576.0,3481.0,103.0,32.0
Monday,10,314,20,17203249163.0,21982917080.0,1565.0,3494.0,102.0,32.0
Monday,10,314,21,17213853449.0,21721670446.0,1530.0,3483.0,102.0,33.0
Monday,10,314,22,17069267912.0,21687887599.0,1510.0,3489.0,102.0,33.0
Monday,10,314,23,17309794824.0,21474741074.0,1506.0,3493.0,99.0,34.0
Saturday,8,312,1,17644359032.0,25421663745.0,1623.0,3544.0,119.0,31.0
Saturday,8,312,3,17456418727.0,24770141793.0,1592.0,3499.0,119.0,31.0
Saturday,8,312,4,17561985783.0,24875270663.0,1562.0,3465.0,119.0,31.0
Saturday,8,312,5,17566156300.0,24889292622.0,1560.0,3474.0,119.0,31.0
Saturday,8,312,6,17577716718.0,24865417111.0,1582.0,3462.0,119.0,30.0
